,test index
0,975
1,815
2,955
3,266
4,513
5,179
6,596
7,642
8,871
9,735
10,878
11,634
12,676
13,825
14,553
15,619
16,948
17,605
18,384
19,315
20,1031
21,808
22,483
23,974
24,213
25,53
26,632
27,672
28,615
29,831
30,713
31,482
32,958
33,686
34,765
35,696
36,281
37,852
38,904
39,116
40,217
41,28
42,742
43,301
44,671
45,780
46,684
47,613
48,249
49,907
50,884
51,567
52,857
53,921
54,691
55,259
56,775
57,856
58,99
59,543
60,1034
61,534
62,982
63,139
64,988
65,419
66,847
67,668
68,603
69,586
70,731
71,950
72,323
73,30
74,143
75,842
76,118
77,393
78,381
79,322
80,665
81,320
82,583
83,185
84,448
85,625
86,631
87,237
88,880
89,151
90,816
91,42
92,573
93,352
94,109
95,402
96,960
97,967
98,355
99,581
